Year,Adult_Mortality,infant_deaths,Alcohol,percentage_expenditure,Hepatitis_B,Measles,BMI,under_five_deaths,Polio,Total_expenditure,Diphtheria,HIV_AIDS,GDP,Population,thinness_1_19_years,thinness_5_9_years,Income_composition_of_resources,Schooling,Life_expectancy,Year_Anomaly_ZScore,Adult_Mortality_Anomaly_ZScore,infant_deaths_Anomaly_ZScore,Alcohol_Anomaly_ZScore,percentage_expenditure_Anomaly_ZScore,Hepatitis_B_Anomaly_ZScore,Measles_Anomaly_ZScore,BMI_Anomaly_ZScore,under_five_deaths_Anomaly_ZScore,Polio_Anomaly_ZScore,Total_expenditure_Anomaly_ZScore,Diphtheria_Anomaly_ZScore,HIV_AIDS_Anomaly_ZScore,GDP_Anomaly_ZScore,Population_Anomaly_ZScore,thinness_1_19_years_Anomaly_ZScore,thinness_5_9_years_Anomaly_ZScore,Income_composition_of_resources_Anomaly_ZScore,Schooling_Anomaly_ZScore,Life_expectancy_Anomaly_ZScore,Year_Anomaly_IQR,Adult_Mortality_Anomaly_IQR,infant_deaths_Anomaly_IQR,Alcohol_Anomaly_IQR,percentage_expenditure_Anomaly_IQR,Hepatitis_B_Anomaly_IQR,Measles_Anomaly_IQR,BMI_Anomaly_IQR,under_five_deaths_Anomaly_IQR,Polio_Anomaly_IQR,Total_expenditure_Anomaly_IQR,Diphtheria_Anomaly_IQR,HIV_AIDS_Anomaly_IQR,GDP_Anomaly_IQR,Population_Anomaly_IQR,thinness_1_19_years_Anomaly_IQR,thinness_5_9_years_Anomaly_IQR,Income_composition_of_resources_Anomaly_IQR,Schooling_Anomaly_IQR,Life_expectancy_Anomaly_IQR
2009,162,0,11.460000000000000000,1281.15594400000010000,92,1,61.1000000000000000,1,99,7.5500000000000000,99,0.1000000000000000,12967.1654299999990000,12265.0000000000,1.8000000000000000,1.8000000000000000,0.81599999999999995,15.3000000000000000,74.200000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,224,1800,0.930000000000000000,19.26615743000000000,92,38835,11.4000000000000000,2500,57,4.2600000000000000,58,0.3000000000000000,438.8646340000000200,1535912.0000000000,27.7000000000000000,28.6000000000000000,0.48899999999999999,8.3000000000000007,62.500000000000000,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0
2004,213,174,0.060000000000000000,55.36107206999999900,64,29171,18.2000000000000000,237,79,2.3700000000000000,71,0.1000000000000000,1148.5699600000000000,223614649.0000000000,1.9000000000000000,1.9000000000000000,0.62400000000000000,11.0000000000000000,65.300000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
2010,145,32,0.190000000000000000,21.82252494000000100,72,492,55.8000000000000000,39,74,3.8200000000000000,74,0.1000000000000000,452.7494800000000100,376271.0000000000,5.3000000000000000,5.0999999999999996,0.64600000000000002,10.4000000000000000,76.000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,249,31,0.030000000000000000,75.25799773000000000,59,474,53.2000000000000000,38,63,3.0000000000000000,59,0.1000000000000000,2351.8124290000001000,27697912.0000000000,5.4000000000000000,5.0999999999999996,0.63100000000000001,10.1999999999999990,64.700000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2015,58,0,null,0E-17,96,80,64.9000000000000060,1,95,null,95,0.1000000000000000,35729.3725300000010000,8381.0000000000,1.2000000000000000,1.1000000000000001,0.89800000000000002,16.0000000000000000,82.500000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2012,6,1,2.780000000000000000,3830.18458700000020000,97,211,63.8000000000000000,1,94,7.7300000000000000,94,0.1000000000000000,32569.5968299999990000,7915.0000000000,1.2000000000000000,1.1000000000000001,0.88900000000000001,15.9000000000000000,81.800000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2009,63,1,2.549999999999999800,508.66454379999999000,98,5,62.6000000000000000,1,96,7.4600000000000000,96,0.1000000000000000,27795.8767100000000000,74856.0000000000,1.2000000000000000,1.1000000000000001,0.87600000000000000,15.6000000000000000,81.500000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2006,68,1,2.230000000000000000,33.58620657000000200,96,9,61.1000000000000000,1,94,7.3800000000000000,95,0.1000000000000000,2195.1768999999999000,7537.0000000000,1.1000000000000001,1.1000000000000001,0.87000000000000000,15.7000000000000000,84.000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,71,1,2.410000000000000000,250.93433170000000000,96,2,6.6000000000000000,1,95,7.4400000000000000,93,0.1000000000000000,2611.1793100000000000,6931.0000000000,1.1000000000000001,1.1000000000000001,0.86599999999999999,15.8000000000000000,80.000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,62,3,6.900000000000000000,863.00614910000002000,92,450,26.9000000000000000,4,98,9.5800000000000000,97,0.1000000000000000,4457.6763899999996000,1287.0000000000,1.9000000000000000,1.6000000000000000,0.87900000000000000,15.1000000000000000,83.000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,74,4,7.970000000000000000,5926.29665399999980000,92,22497,22.2000000000000000,5,98,7.5300000000000000,85,0.1000000000000000,38532.4879999999980000,126843.0000000000,1.6000000000000000,1.4000000000000000,0.85199999999999998,14.5000000000000000,81.099999999999994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2008,119,4,0.610000000000000000,535.27864039999997000,97,2,6.1000000000000000,4,98,8.7799999999999994,97,0.1000000000000000,3385.6966499999999000,6489822.0000000000,3.8000000000000000,3.8000000000000000,0.73899999999999999,13.6000000000000000,73.099999999999994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,287,8,6.550000000000000000,33.91660182999999800,99,2204,45.8000000000000000,9,99,3.9500000000000000,82,0.1000000000000000,2874.2882909999998000,1512985.0000000000,2.5000000000000000,2.6000000000000000,0.72499999999999998,13.5000000000000000,64.700000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,432,72,1.430000000000000000,36.29775249000000100,73,20,15.9000000000000000,112,73,4.2900000000000000,73,13.2000000000000000,458.8843550999999900,3574931.0000000000,8.6999999999999993,8.6000000000000000,0.46100000000000002,8.9000000000000000,53.000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2003,437,74,1.490000000000000000,35.85204668000000100,73,65,15.5000000000000000,115,75,4.4500000000000000,73,14.5000000000000000,436.6875357000000100,3413852.0000000000,8.8000000000000007,8.8000000000000007,0.45000000000000000,8.1999999999999993,52.400000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2014,82,0,0.010000000000000000,2480.89696499999990000,96,55,7.8000000000000000,1,94,3.4000000000000000,95,0.1000000000000000,42996.4812000000020000,null,3.4000000000000000,3.4000000000000000,0.78700000000000003,13.0000000000000000,74.599999999999994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2002,265,13,3.330000000000000000,0E-17,92,2070,13.3000000000000000,18,55,4.4000000000000004,53,0.1000000000000000,null,null,1.3000000000000000,1.4000000000000000,0.46800000000000003,8.0000000000000000,59.300000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,98,1,1.720000000000000000,8.90693116799999980,8,373,61.9000000000000000,1,75,8.9000000000000000,8,0.1000000000000000,614.2711150000000100,486466.0000000000,4.7000000000000000,4.5999999999999996,0.73099999999999998,12.9000000000000000,74.400000000000006,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2003,42,13,4.210000000000000000,9.75844926599999950,92,142,21.1000000000000000,18,49,3.4400000000000000,35,3.2000000000000000,133.4945180000000000,3116233.0000000000,8.6999999999999993,8.6999999999999993,0.37300000000000000,10.3000000000000000,50.000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
2012,176,0,15.140000000000000000,1807.07133600000000000,93,0,6.9000000000000000,0,93,6.6700000000000000,93,0.1000000000000000,14341.8359999999990000,2987773.0000000000,2.7000000000000000,2.7000000000000000,0.83000000000000000,16.5000000000000000,73.000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2000,2,0,9.869999999999999200,373.26055320000000000,98,19,56.9000000000000000,0,92,6.4600000000000000,94,0.1000000000000000,3297.3547100000001000,3499536.0000000000,3.4000000000000000,3.4000000000000000,0.74500000000000000,14.0000000000000000,71.599999999999994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,96,0,12.890000000000000000,7877.33655999999970000,86,0,54.6000000000000000,0,99,7.4000000000000000,99,0.1000000000000000,48179.4285000000020000,441525.0000000000,1.0000000000000000,1.0000000000000000,0.85399999999999998,13.4000000000000000,78.000000000000000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2001,276,42,1.050000000000000000,42.56331585000000200,92,9357,14.3000000000000000,65,6,5.1700000000000000,6,0.7000000000000000,278.5557319999999800,1626932.0000000000,8.6000000000000000,8.5000000000000000,0.45600000000000002,8.1999999999999993,58.700000000000000,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
2000,588,51,1.180000000000000000,13.76270195000000000,92,304,14.1000000000000000,84,73,6.7000000000000000,75,25.5000000000000000,153.2594872000000000,11376172.0000000000,8.0000000000000000,7.9000000000000000,0.39100000000000001,10.7000000000000000,43.100000000000000,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
2015,123,4,null,0E-17,99,1318,4.5999999999999996,4,99,null,99,0.1000000000000000,9643.6446830000004000,3723155.0000000000,7.5000000000000000,7.3000000000000000,0.78700000000000003,13.1000000000000000,75.000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,13,3,0.510000000000000000,9.23002632000000030,96,1569,36.2999999999999970,4,96,3.8900000000000000,96,0.1000000000000000,145.1262000000000100,28635128.0000000000,8.0000000000000000,7.8000000000000000,0.77400000000000002,13.0000000000000000,74.300000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2009,276,55,0.590000000000000000,84.63438924999999800,71,2939,2.2000000000000002,93,77,6.8500000000000000,73,1.6000000000000000,697.1531240000000500,1466597.0000000000,9.0000000000000000,8.8000000000000007,0.38500000000000001,7.1000000000000000,56.000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
2012,154,0,0.010000000000000000,915.18592049999995000,98,0,31.8000000000000000,0,98,4.7600000000000000,98,0.1000000000000000,9291.2276189999993000,1255882.0000000000,7.1000000000000000,7.0000000000000000,0.75600000000000001,14.3000000000000000,73.900000000000006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,174,0,4.080000000000000000,407.77926200000002000,97,777,26.9000000000000000,0,99,4.1500000000000004,99,0.1000000000000000,4623.3476419999997000,121337.0000000000,7.9000000000000000,7.8000000000000000,0.68700000000000006,12.6000000000000000,71.500000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,129,55,4.990000000000000000,10.22840118000000100,97,30,52.4000000000000000,66,97,4.9800000000000004,97,0.1000000000000000,672.9211299999999500,11719673.0000000000,2.0000000000000000,1.9000000000000000,0.69399999999999995,11.4000000000000000,74.800000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2015,166,0,null,0E-17,78,0,69.4000000000000060,0,71,null,72,0.1000000000000000,null,null,0.2000000000000000,0.2000000000000000,0.63700000000000001,11.7000000000000000,69.400000000000006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,142,23,0.560000000000000050,100.36383220000000000,95,6399,48.2000000000000000,27,97,5.2200000000000000,97,0.1000000000000000,1948.8122750000000000,3179285.0000000000,6.5000000000000000,6.4000000000000000,0.56100000000000005,9.6000000000000000,72.000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,155,26,0.460000000000000000,71.11645000000000000,84,2724,45.7000000000000000,30,93,4.4400000000000004,96,0.1000000000000000,1336.7753760000001000,29181832.0000000000,6.7000000000000000,6.5000000000000000,0.53000000000000000,8.5000000000000000,69.000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2012,48,64,1.190000000000000000,49.90987221000000300,76,145,21.3000000000000000,90,73,5.5800000000000000,76,6.9000000000000000,566.5138729999999900,2567666.0000000000,3.6000000000000000,3.5000000000000000,0.40000000000000000,9.1999999999999993,54.800000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2003,424,85,1.680000000000000000,42.52689559000000200,76,28898,17.7000000000000000,124,67,6.3900000000000000,85,15.3000000000000000,283.8911588000000300,19716598.0000000000,4.0000000000000000,3.9000000000000000,0.31800000000000000,6.7000000000000000,51.000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0
2013,6,1,8.680000000000000000,1475.03039700000000000,51,2632,61.0000000000000000,1,97,11.4000000000000000,97,0.1000000000000000,51574.4894199999980000,1684432.0000000000,1.0000000000000000,0.9000000000000000,0.92200000000000004,18.1000000000000010,81.400000000000006,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2008,75,0,9.490000000000000000,6761.28896600000010000,9,0,63.8000000000000000,0,89,1.7000000000000000,89,0.1000000000000000,31287.7786500000000000,null,0.3000000000000000,0.3000000000000000,0.89400000000000002,19.5000000000000000,81.000000000000000,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2002,187,371,0.010000000000000000,22.39387584000000000,92,3903,17.3999999999999990,474,71,2.7600000000000000,68,0.1000000000000000,499.8632999999999800,144654143.0000000000,21.8000000000000000,22.2000000000000000,0.45700000000000002,5.5000000000000000,63.200000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0
2001,189,377,0.010000000000000000,1.76666309699999990,92,3849,16.8999999999999990,483,68,2.6100000000000000,65,0.1000000000000000,51.6568157000000030,14161437.0000000000,22.0000000000000000,22.4000000000000000,0.45000000000000000,5.4000000000000000,63.000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0
2012,13,1,7.710000000000000000,158.25760249999999000,92,31,53.6000000000000000,1,93,8.5700000000000000,92,0.1000000000000000,4142.8691749999998000,3825.0000000000,2.6000000000000000,2.8000000000000000,0.74900000000000000,13.4000000000000000,74.200000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,128,1,7.170000000000000000,151.76256699999999000,89,56,5.5000000000000000,1,9,8.9900000000000000,92,0.1000000000000000,3174.9490999999998000,43.0000000000,2.6000000000000000,2.8000000000000000,0.73499999999999999,13.1000000000000000,73.900000000000006,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2015,68,2,null,0E-17,88,2464,62.3000000000000000,3,94,null,95,0.1000000000000000,41176.8815800000010000,81686611.0000000000,1.1000000000000001,1.1000000000000001,0.92400000000000004,17.1000000000000010,81.000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
2014,69,2,11.030000000000000000,941.75629089999995000,88,443,61.9000000000000000,3,94,11.3000000000000000,95,0.1000000000000000,4792.6528799999996000,89825.0000000000,1.1000000000000001,1.1000000000000001,0.92000000000000000,17.0000000000000000,89.000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,28,41,1.250000000000000000,3.18137362899999990,94,6,23.6000000000000000,61,94,5.3000000000000000,94,2.6000000000000000,19.6867179999999990,227212.0000000000,7.7000000000000000,7.6000000000000000,0.51900000000000002,9.1000000000000000,59.900000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2015,186,10,null,0E-17,74,0,5.6000000000000000,12,9,null,74,0.4000000000000000,3923.5733439999999000,16252429.0000000000,1.2000000000000000,1.2000000000000000,0.63700000000000001,10.7000000000000000,71.900000000000006,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2004,21,15,2.400000000000000000,288.40162579999998000,92,0,43.1000000000000000,18,88,6.7700000000000000,87,0.4000000000000000,1872.7378300000000000,12796925.0000000000,1.4000000000000000,1.4000000000000000,0.56399999999999995,9.3000000000000007,69.599999999999994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,211,16,2.529999999999999800,225.06199559999999000,92,0,41.1000000000000000,20,78,6.7600000000000000,77,0.3000000000000000,1568.3762760000000000,11924946.0000000000,1.5000000000000000,1.5000000000000000,0.54600000000000004,8.5000000000000000,68.400000000000006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,218,0,7.560000000000000000,345.90442580000001000,98,0,45.0000000000000000,1,98,5.0999999999999996,98,0.3000000000000000,3944.1781729999998000,75881.0000000000,5.5000000000000000,5.3000000000000000,0.63300000000000001,10.3000000000000000,65.900000000000006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,65,0,6.610000000000000000,725.48531609999998000,92,0,55.9000000000000000,0,97,1.7000000000000000,97,0.1000000000000000,3944.9989999999998000,289521.0000000000,1.0000000000000000,0.9000000000000000,0.86599999999999999,17.6000000000000010,87.000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,74,0,6.170000000000000000,5809.12198999999960000,92,0,54.2000000000000000,0,98,9.2799999999999994,98,0.1000000000000000,31813.3734399999990000,28125.0000000000,1.0000000000000000,0.9000000000000000,0.84699999999999998,16.8000000000000000,79.700000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
