Year,Adult_Mortality,infant_deaths,Alcohol,percentage_expenditure,Hepatitis_B,Measles,BMI,under_five_deaths,Polio,Total_expenditure,Diphtheria,HIV_AIDS,GDP,Population,thinness_1_19_years,thinness_5_9_years,Income_composition_of_resources,Schooling,Life_expectancy,
2015,68,2,null,0.00,88.00,2464.00,62.30,3.00,94.00,null,95.00,0.10,41176.88,81686611.00,1.10,1.10,0.92,17.10,81.00,
2014,69,2,11.03,941.76,88.00,443.00,61.90,3.00,94.00,11.30,95.00,0.10,4792.65,89825.00,1.10,1.10,0.92,17.00,89.00,
2013,71,2,10.94,895.88,88.00,1771.00,61.40,3.00,94.00,11.16,95.00,0.10,4653.91,864565.00,1.10,1.10,0.92,16.90,86.00,
2012,71,2,11.18,839.91,88.00,166.00,6.90,3.00,94.00,1.99,95.00,0.10,4465.25,8425823.00,1.10,1.10,0.92,16.90,86.00,
2011,74,2,11.2,869.79,88.00,1607.00,6.40,3.00,94.00,1.93,95.00,0.10,4681.33,8274983.00,1.10,1.10,0.91,16.80,85.00,
2010,76,2,11.2,7584.08,88.00,780.00,59.90,3.00,94.00,11.25,95.00,0.10,41785.56,8177693.00,1.10,1.10,0.91,16.70,81.00,
2009,79,2,11.22,7641.27,88.00,574.00,59.50,3.00,95.00,11.40,96.00,0.10,41732.77,819237.00,1.10,1.10,0.91,16.70,80.00,
2008,8,2,11.36,8285.26,87.00,917.00,59.00,3.00,95.00,1.39,96.00,0.10,45699.20,821197.00,1.10,1.10,0.90,16.60,79.90,
2007,82,3,11.5,7777.56,86.00,567.00,58.50,3.00,95.00,1.18,96.00,0.10,41814.82,82266372.00,1.10,1.10,0.90,16.60,79.80,
2006,84,3,11.76,6407.54,87.00,2307.00,58.00,3.00,94.00,1.34,96.00,0.10,36447.87,82376451.00,1.10,1.10,0.89,16.50,79.60,
2005,85,3,11.67,6012.93,9.00,778.00,57.60,3.00,95.00,1.52,96.00,0.10,34696.63,82469422.00,1.10,1.10,0.88,16.40,79.20,
2004,86,3,11.83,5842.37,88.00,121.00,57.10,3.00,96.00,1.37,96.00,0.10,34165.93,8251626.00,1.10,1.10,0.88,16.40,79.10,
2003,9,3,11.92,582.62,9.00,779.00,56.60,4.00,96.00,1.62,97.00,0.10,3359.95,82534176.00,1.10,1.10,0.87,16.30,78.50,
2002,91,3,12.25,437.11,87.00,4657.00,56.10,4.00,97.00,1.40,93.00,0.10,2525.16,82488495.00,1.20,1.10,0.87,16.30,78.40,
2001,92,3,12.46,4057.64,86.00,6024.00,55.60,4.00,96.00,1.15,93.00,0.10,23687.32,82349925.00,1.20,1.10,0.86,16.20,78.30,
2000,95,3,12.91,4238.54,84.00,0.00,55.10,4.00,94.00,1.10,9.00,0.10,23718.75,8221158.00,1.20,1.20,0.85,16.20,78.00,
2015,249,37,null,0.00,88.00,23.00,28.60,52.00,88.00,null,88.00,0.70,1361.11,27582821.00,6.20,6.10,0.57,11.40,62.40,
2014,253,37,0.01,97.68,98.00,124.00,28.00,54.00,93.00,3.56,98.00,0.80,1432.23,26962563.00,6.40,6.30,0.58,11.70,62.10,
2013,254,38,0.01,28.67,9.00,319.00,27.30,55.00,91.00,4.63,9.00,0.90,1814.49,26346251.00,6.60,6.40,0.57,11.50,61.90,
2012,257,39,0.01,151.90,92.00,1613.00,26.70,56.00,91.00,4.79,92.00,0.90,1629.82,2573349.00,6.70,6.60,0.56,11.20,61.60,
2011,263,40,1.64,225.22,91.00,120.00,26.10,58.00,91.00,4.81,91.00,1.30,1574.98,25121796.00,6.90,6.80,0.55,10.90,61.20,
2010,267,40,1.69,195.98,94.00,641.00,25.50,59.00,94.00,5.33,94.00,1.90,1312.68,2451214.00,7.10,7.00,0.55,10.50,69.00,
2009,271,41,1.76,30.72,94.00,101.00,24.90,60.00,94.00,5.17,94.00,2.10,186.77,2393831.00,7.30,7.20,0.54,10.40,66.00,
2008,275,41,1.78,161.01,93.00,82.00,24.20,61.00,92.00,4.85,93.00,2.20,1224.42,2329864.00,7.50,7.40,0.53,9.80,63.00,
2007,28,41,1.25,3.18,94.00,6.00,23.60,61.00,94.00,5.30,94.00,2.60,19.69,227212.00,7.70,7.60,0.52,9.10,59.90,
2006,288,41,1.7,129.03,84.00,420.00,23.00,62.00,84.00,4.64,84.00,2.90,922.94,22113425.00,7.90,7.90,0.51,8.70,59.40,
2005,296,41,1.5,78.71,84.00,435.00,22.40,62.00,85.00,4.51,84.00,3.10,498.17,215429.00,8.10,8.10,0.50,8.10,58.90,
2004,34,41,1.46,53.24,8.00,60.00,21.80,62.00,81.00,3.96,8.00,3.20,423.19,2986536.00,8.40,8.30,0.49,7.70,58.30,
2003,38,41,1.53,31.09,8.00,1939.00,21.20,63.00,8.00,3.12,8.00,3.40,373.28,2446782.00,8.60,8.50,0.49,7.90,57.90,
2002,31,42,1.6,3.34,8.00,12289.00,2.70,63.00,8.00,3.70,78.00,3.50,39.48,19924522.00,8.80,8.80,0.48,7.60,57.60,
2001,39,42,1.49,25.56,null,13476.00,2.10,64.00,81.00,3.56,79.00,3.50,273.66,1942165.00,9.00,9.00,0.48,8.00,57.40,
2000,38,43,1.6,20.65,null,23068.00,19.50,65.00,88.00,3.00,88.00,3.60,263.11,18938762.00,9.20,9.20,0.48,7.70,57.20,
2015,72,0,null,0.00,96.00,1.00,66.50,0.00,99.00,null,99.00,0.10,187.79,182883.00,0.80,0.70,0.86,17.20,81.00,
2014,73,0,7.53,2163.04,96.00,1.00,66.00,0.00,99.00,8.80,99.00,0.10,21673.78,1892413.00,0.80,0.70,0.86,17.20,88.00,
2013,74,0,7.46,2183.11,98.00,3.00,65.40,0.00,99.00,9.26,99.00,0.10,21874.82,1965211.00,0.80,0.70,0.86,17.10,86.00,
2012,76,0,8.2,2528.99,98.00,3.00,64.90,0.00,99.00,9.24,99.00,0.10,22242.68,114511.00,0.80,0.70,0.86,16.80,84.00,
2011,76,0,8.02,3192.89,95.00,40.00,64.30,0.00,99.00,9.77,99.00,0.10,25916.29,1114899.00,0.80,0.70,0.86,16.70,85.00,
2010,76,0,9,3189.75,95.00,149.00,63.70,0.00,99.00,9.18,99.00,0.10,26917.76,11121341.00,0.80,0.70,0.86,16.40,83.00,
2009,78,0,9.08,372.69,95.00,2.00,63.10,0.00,99.00,9.76,99.00,0.10,2971.97,111717.00,0.80,0.70,0.86,16.20,80.00,
2008,77,0,9.51,3682.89,95.00,1.00,62.40,0.00,99.00,9.76,99.00,0.10,31997.28,1177841.00,0.80,0.70,0.85,15.90,79.90,
2007,8,0,9.67,3632.24,95.00,2.00,61.80,0.00,99.00,9.41,99.00,0.10,28827.33,1148473.00,0.80,0.70,0.85,16.40,79.40,
2006,77,0,9.42,318.58,94.00,0.00,61.20,1.00,98.00,9.34,98.00,0.10,2481.16,112362.00,0.80,0.70,0.85,16.30,79.70,
2005,81,0,9.95,2785.14,93.00,122.00,6.50,1.00,96.00,9.36,96.00,0.10,22551.74,1987314.00,0.80,0.70,0.84,15.60,79.30,
2004,81,0,9.56,287.61,92.00,1.00,59.90,1.00,95.00,8.30,95.00,0.10,21955.15,1955141.00,0.80,0.80,0.83,15.30,79.20,
2003,81,0,9.46,2124.92,92.00,0.00,59.20,1.00,93.00,8.61,94.00,0.10,18477.58,19287.00,0.80,0.80,0.82,15.20,79.10,
2002,81,1,8.09,160.89,91.00,5.00,58.60,1.00,92.00,8.72,92.00,0.10,1411.31,19222.00,0.80,0.80,0.81,14.60,79.00,
2001,83,1,8.62,1403.02,9.00,12.00,58.00,1.00,9.00,8.47,91.00,0.10,12538.18,1862132.00,0.90,0.80,0.80,14.20,78.70,
2000,84,1,8.48,122.18,89.00,56.00,57.40,1.00,89.00,7.60,89.00,0.10,1242.95,18588.00,0.90,0.80,0.79,13.90,78.20,
2015,142,0,null,0.00,92.00,0.00,48.40,0.00,99.00,null,92.00,0.10,9212.19,null,3.80,3.80,0.75,15.80,73.60,
2014,143,0,8.42,789.28,97.00,0.00,47.40,0.00,81.00,6.10,97.00,0.10,8569.78,null,3.80,3.80,0.75,15.80,73.50,
2013,144,0,8.25,780.45,97.00,0.00,46.50,0.00,98.00,6.15,97.00,0.10,7955.62,null,3.80,3.80,0.75,15.80,73.30,
2012,146,0,8.07,866.00,97.00,0.00,45.60,0.00,98.00,6.36,97.00,0.10,7583.19,null,3.80,3.80,0.74,15.80,73.10,
2011,15,0,7.84,11.57,94.00,0.00,44.70,0.00,95.00,6.35,95.00,0.10,741.48,null,3.80,3.80,0.74,15.80,72.90,
2010,154,0,7.91,145.84,97.00,0.00,43.90,0.00,94.00,6.41,97.00,0.10,7365.67,null,3.80,3.80,0.00,15.80,72.60,
2009,158,0,8.42,146.44,99.00,0.00,43.10,0.00,99.00,6.24,99.00,0.10,7395.88,null,3.80,3.80,0.00,15.60,72.40,
2008,162,0,8.92,754.96,99.00,0.00,42.40,0.00,99.00,5.76,99.00,0.10,7946.94,null,3.80,3.90,0.00,15.40,72.10,
2007,164,0,9.06,95.19,96.00,0.00,41.80,0.00,96.00,5.88,96.00,0.10,7322.60,null,3.90,3.90,0.00,15.30,71.90,
2006,167,0,9.06,662.27,91.00,0.00,41.10,0.00,91.00,5.99,91.00,0.10,6764.72,null,3.90,3.90,0.00,15.10,71.70,
2005,169,0,8.8,119.55,99.00,0.00,4.50,0.00,99.00,5.50,99.00,0.10,6754.51,null,3.90,4.00,0.00,14.90,71.50,
2004,187,0,8.43,100.97,83.00,0.00,39.90,0.00,84.00,5.24,83.00,0.10,5836.18,null,4.00,4.00,0.00,14.80,73.00,
2003,173,0,9.75,77.95,97.00,0.00,39.40,0.00,98.00,5.89,97.00,0.10,5773.74,null,4.00,4.10,0.00,14.60,71.10,
2002,176,0,10.71,513.35,98.00,0.00,38.80,0.00,98.00,6.67,98.00,0.10,5292.23,null,4.10,4.10,0.00,14.40,79.00,
2001,178,0,9.61,81.11,96.00,0.00,38.20,0.00,96.00,7.67,96.00,0.10,519.96,null,4.20,4.20,0.00,14.30,77.00,
2000,182,0,9.4,676.55,null,0.00,37.70,0.00,97.00,6.62,97.00,0.10,5117.59,null,4.30,4.20,0.00,14.10,74.00,
2015,186,10,null,0.00,74.00,0.00,5.60,12.00,9.00,null,74.00,0.40,3923.57,16252429.00,1.20,1.20,0.64,10.70,71.90,
2014,187,10,1.88,657.53,73.00,0.00,49.90,13.00,65.00,6.20,73.00,0.40,3687.76,15923559.00,1.20,1.20,0.61,10.70,71.70,
2013,189,11,1.93,582.15,85.00,0.00,49.30,13.00,84.00,6.30,85.00,0.40,3452.83,15596214.00,1.20,1.20,0.61,10.70,71.40,
2012,189,11,2.02,484.72,96.00,0.00,48.60,13.00,94.00,6.33,96.00,0.40,3299.65,1527156.00,1.20,1.20,0.62,10.60,71.30,
2011,193,11,2.16,457.77,88.00,0.00,47.90,14.00,88.00,6.28,88.00,0.40,3187.85,14948919.00,1.20,1.20,0.61,10.50,71.10,
2010,196,12,2.14,443.32,94.00,0.00,47.20,14.00,94.00,6.64,94.00,0.40,2825.52,1463417.00,1.30,1.30,0.60,10.50,77.00,
2009,198,12,2.14,445.44,92.00,0.00,46.50,15.00,92.00,6.79,92.00,0.40,2635.75,1431628.00,1.30,1.30,0.60,10.40,76.00,
2008,19,13,2.21,472.22,95.00,0.00,45.90,15.00,96.00,6.65,95.00,0.40,2794.22,146366.00,1.30,1.30,0.59,10.40,79.00,
2007,192,13,2.4,380.96,85.00,0.00,45.20,16.00,85.00,6.86,85.00,0.40,2489.96,137286.00,1.30,1.30,0.58,10.10,75.00,
2006,24,14,2.38,352.02,89.00,0.00,44.50,17.00,9.00,7.70,89.00,0.40,2256.57,133978.00,1.40,1.40,0.57,9.80,69.70,
2005,28,14,2.35,41.51,87.00,0.00,43.80,18.00,87.00,6.79,87.00,0.40,277.83,139628.00,1.40,1.40,0.57,9.60,69.20,
2004,21,15,2.4,288.40,null,0.00,43.10,18.00,88.00,6.77,87.00,0.40,1872.74,12796925.00,1.40,1.40,0.56,9.30,69.60,
2003,24,15,2.45,249.33,null,0.00,42.40,19.00,84.00,6.88,84.00,0.40,1753.35,125478.00,1.40,1.40,0.56,9.00,69.40,
2002,21,16,2.41,25.25,null,0.00,41.70,20.00,82.00,6.71,82.00,0.30,171.77,1228848.00,1.50,1.50,0.55,8.80,69.30,
2001,211,16,2.53,225.06,null,0.00,41.10,20.00,78.00,6.76,77.00,0.30,1568.38,11924946.00,1.50,1.50,0.55,8.50,68.40,
2000,221,17,2.63,238.74,null,0.00,4.40,21.00,8.00,5.25,81.00,0.20,1655.60,1165743.00,1.60,1.60,0.54,8.20,67.70,
2015,284,26,null,0.00,54.00,243.00,23.30,40.00,42.00,null,54.00,0.50,554.49,1291533.00,7.30,7.30,0.41,8.80,59.00,
2014,299,27,0.01,50.58,51.00,175.00,22.70,41.00,42.00,5.64,51.00,0.50,562.00,118559.00,7.50,7.40,0.41,8.60,58.10,
2013,284,27,0.01,5.14,63.00,53.00,22.20,41.00,63.00,5.49,63.00,1.00,54.17,11536615.00,7.70,7.60,0.41,8.50,58.80,
2012,288,28,0.01,4.34,62.00,6.00,21.70,42.00,63.00,5.39,62.00,1.90,52.35,11281469.00,7.80,7.80,0.40,8.50,58.40,
2011,29,28,0.22,42.25,63.00,11.00,21.20,43.00,63.00,4.73,63.00,2.00,459.29,113517.00,8.00,8.00,0.39,8.40,58.10,
2010,291,29,0.2,29.75,64.00,45.00,2.80,44.00,62.00,4.55,64.00,2.20,438.75,179417.00,8.20,8.20,0.38,8.30,57.80,
2009,297,29,0.18,24.85,57.00,264.00,2.30,46.00,6.00,3.85,57.00,2.30,436.69,1556524.00,8.40,8.40,0.38,8.10,57.30,
2008,33,30,0.21,19.69,57.00,89.00,19.80,47.00,59.00,3.21,6.00,2.30,437.45,1323142.00,8.60,8.60,0.37,7.90,56.80,
2007,36,31,0.19,1.40,57.00,3.00,19.40,48.00,46.00,3.80,63.00,2.40,49.46,196727.00,8.90,8.80,0.36,7.60,56.40,
2006,317,31,0.16,10.38,null,4.00,19.00,49.00,53.00,3.20,57.00,2.60,296.68,9881428.00,9.10,9.10,0.36,7.10,55.60,
2005,327,32,0.21,1.10,null,99.00,18.50,51.00,59.00,2.82,59.00,2.70,33.42,9679745.00,9.30,9.30,0.35,6.60,54.70,
2004,334,33,0.34,18.93,null,10.00,18.10,53.00,65.00,3.14,6.00,2.80,386.33,949229.00,9.50,9.50,0.33,5.10,54.00,
2003,338,34,0.18,2.40,null,2497.00,17.70,55.00,61.00,3.45,57.00,2.90,37.19,939848.00,9.70,9.70,0.34,5.90,53.30,
2002,337,35,0.21,21.34,null,2151.00,17.30,56.00,56.00,3.76,53.00,3.00,322.81,9137345.00,9.90,9.90,0.33,5.50,52.90,
2001,336,36,0.17,19.90,null,7408.00,16.90,58.00,52.00,3.65,5.00,3.00,315.84,8971139.00,1.10,1.10,0.32,5.10,52.50,
2000,328,37,0.17,2.22,null,11294.00,16.60,60.00,47.00,3.46,46.00,3.00,34.52,888546.00,1.30,1.30,0.32,4.80,52.50,
2015,275,4,null,0.00,87.00,153.00,26.30,6.00,87.00,null,87.00,3.20,596.87,177526.00,7.10,7.00,0.42,9.20,58.90,
2014,282,4,0.01,50.06,87.00,1.00,25.60,6.00,87.00,5.59,87.00,3.40,642.63,1725744.00,7.30,7.10,0.42,9.20,58.40,
2013,279,4,0.01,8.20,87.00,0.00,25.00,6.00,87.00,6.14,87.00,4.50,61.57,1681495.00,7.50,7.30,0.41,9.10,58.10,
2012,285,4,0.01,0.95,87.00,0.00,24.30,6.00,87.00,5.96,87.00,5.30,67.75,1638139.00,7.70,7.50,0.42,9.10,57.60,
2011,289,4,3.57,40.45,86.00,0.00,23.70,7.00,85.00,5.46,86.00,5.70,692.70,1596154.00,7.80,7.70,0.41,9.00,57.10,
2010,287,4,3.21,53.31,83.00,26.00,23.10,7.00,82.00,6.70,83.00,5.90,543.96,155588.00,8.00,7.90,0.41,8.90,56.70,
2009,288,4,2.55,47.13,8.00,0.00,22.50,7.00,78.00,6.81,8.00,6.00,544.22,1517448.00,8.30,8.10,0.40,8.90,56.30,
2008,297,5,2.64,28.30,null,12.00,21.90,7.00,77.00,6.50,77.00,6.00,583.54,148841.00,8.50,8.40,0.40,8.80,55.60,
2007,32,5,2.98,31.07,null,1.00,21.30,7.00,76.00,6.10,74.00,5.70,481.69,1445958.00,8.70,8.60,0.39,8.80,55.00,
2006,36,5,3.22,21.53,null,0.00,2.70,8.00,74.00,5.87,71.00,5.60,418.94,1412669.00,8.90,8.80,0.39,8.30,54.40,
2005,37,5,3.1,22.10,null,0.00,2.10,8.00,73.00,5.72,68.00,5.40,424.95,138838.00,9.20,9.00,0.00,8.00,53.90,
2004,38,5,2.58,13.53,null,3526.00,19.60,8.00,69.00,5.41,64.00,5.00,393.31,135345.00,9.40,9.30,0.00,7.70,53.50,
2003,38,5,2.16,2.53,null,1158.00,19.00,8.00,65.00,5.62,6.00,4.60,36.57,132122.00,9.60,9.50,0.00,7.40,53.00,
2002,35,5,2.47,24.66,null,298.00,18.50,8.00,61.00,5.84,57.00,4.10,321.48,1293523.00,9.80,9.70,0.00,7.10,52.80,
2001,32,5,2.55,0.87,null,126.00,17.90,9.00,56.00,5.40,53.00,3.60,39.49,1267512.00,1.00,1.00,0.00,6.70,52.50,
2000,3,5,2.84,6.70,null,0.00,17.40,9.00,52.00,4.94,49.00,3.10,297.75,1243229.00,1.20,1.20,0.00,6.40,52.10,
2015,215,0,null,0.00,95.00,0.00,46.70,1.00,92.00,null,95.00,0.30,4136.69,768514.00,5.50,5.30,0.64,10.30,66.20,
2014,217,0,7.64,4.14,98.00,0.00,45.90,1.00,97.00,5.25,98.00,0.30,43.82,763393.00,5.50,5.30,0.64,10.30,66.00,
2013,218,0,7.56,345.90,98.00,0.00,45.00,1.00,98.00,5.10,98.00,0.30,3944.18,75881.00,5.50,5.30,0.63,10.30,65.90,
2012,22,0,7.57,497.47,97.00,0.00,44.10,1.00,97.00,6.57,97.00,0.30,3785.94,75391.00,5.60,5.30,0.63,10.60,65.80,
2011,229,0,7.56,536.23,93.00,0.00,43.20,1.00,93.00,6.80,93.00,0.40,3439.60,7491.00,5.60,5.30,0.62,10.30,65.60,
2010,221,0,7.52,48.03,95.00,0.00,42.40,1.00,95.00,6.60,95.00,0.40,326.28,746556.00,5.60,5.30,0.62,10.20,65.90,
2009,218,0,7.49,466.67,98.00,0.00,41.60,1.00,97.00,7.32,98.00,0.30,2716.35,745693.00,5.60,5.40,0.62,10.50,66.10,
2008,218,1,7.32,493.33,93.00,0.00,4.90,1.00,93.00,7.46,93.00,0.80,2576.12,746314.00,5.60,5.40,0.62,10.70,66.30,
2007,232,1,7.2,362.87,94.00,0.00,4.30,1.00,94.00,6.45,94.00,1.90,2327.58,747869.00,5.70,5.50,0.62,11.20,65.70,
2006,24,1,7.04,170.63,93.00,0.00,39.60,1.00,92.00,4.67,93.00,1.10,1945.64,74961.00,5.70,5.50,0.62,11.70,65.20,
2005,238,1,7.35,17.46,93.00,0.00,39.00,1.00,93.00,5.83,93.00,1.80,198.46,75946.00,5.70,5.50,0.62,11.40,65.00,
2004,237,1,7.84,1.78,91.00,0.00,38.40,1.00,91.00,5.73,91.00,1.90,145.59,751652.00,5.80,5.60,0.61,11.20,65.10,
2003,237,1,7.93,16.48,9.00,0.00,37.80,1.00,91.00,5.97,9.00,2.10,986.80,751857.00,5.80,5.60,0.61,11.10,65.30,
2002,244,1,7.73,10.94,91.00,0.00,37.10,1.00,93.00,5.84,91.00,2.30,96.87,751884.00,5.90,5.70,0.61,11.00,65.30,
2001,247,1,6.71,15.55,85.00,0.00,36.40,1.00,9.00,5.82,85.00,1.70,925.58,752263.00,5.90,5.70,0.61,10.90,65.40,
2000,246,1,6.63,16.75,null,0.00,35.70,1.00,79.00,5.85,88.00,1.10,946.60,75331.00,5.90,5.80,0.60,10.90,65.40,
2015,24,14,null,0.00,6.00,0.00,49.90,18.00,56.00,null,6.00,0.50,814.55,171161.00,3.90,3.90,0.49,9.10,63.50,
2014,245,14,0.01,5.10,48.00,0.00,48.80,19.00,55.00,7.56,48.00,0.50,83.11,1572466.00,3.90,3.90,0.49,9.10,63.10,
2013,253,14,5.68,4.99,68.00,0.00,47.70,19.00,67.00,8.10,68.00,0.50,81.27,1431776.00,3.90,3.90,0.48,9.10,62.70,
2012,259,15,5.68,26.38,null,0.00,46.50,20.00,67.00,9.88,67.00,0.80,766.84,128921.00,3.90,3.90,0.48,8.90,62.30,
2011,259,15,5.68,4.11,null,0.00,45.30,20.00,67.00,1.41,68.00,1.50,74.94,114554.00,4.00,4.00,0.47,8.70,62.30,
2010,682,23,5.76,36.29,null,0.00,44.20,58.00,66.00,8.90,66.00,1.90,662.28,9999617.00,4.00,4.00,0.47,8.60,36.30,
2009,251,16,5.85,41.30,null,0.00,43.00,21.00,65.00,6.68,65.00,2.00,668.30,985287.00,4.10,4.10,0.47,8.50,62.50,
2008,259,16,5.95,63.83,null,0.00,41.80,22.00,64.00,5.92,63.00,2.40,674.76,97529.00,4.20,4.20,0.46,8.40,62.10,
2007,266,17,6.08,56.78,null,0.00,4.70,23.00,62.00,5.56,63.00,2.70,615.82,9556889.00,4.20,4.20,0.46,8.40,61.80,
2006,28,17,6.18,7.00,null,0.00,39.60,23.00,61.00,5.70,6.00,3.30,55.48,949457.00,4.30,4.30,0.46,8.30,61.10,
2005,29,17,5.57,38.11,null,0.00,38.50,24.00,6.00,4.41,6.00,3.90,465.31,926344.00,4.40,4.40,0.45,8.20,65.00,
2004,32,18,6.1,64.40,null,0.00,37.50,24.00,58.00,5.61,55.00,4.30,387.94,9119178.00,4.50,4.50,0.45,8.10,58.70,
2003,3,18,6.64,44.26,null,0.00,36.50,25.00,56.00,5.32,53.00,4.60,329.78,8976552.00,4.50,4.60,0.45,8.10,59.70,
2002,33,19,6.1,50.29,null,0.00,35.60,26.00,54.00,5.47,48.00,4.80,393.16,8834733.00,4.60,4.70,0.44,8.00,59.30,
2001,35,19,6.22,60.78,null,159.00,34.80,27.00,52.00,5.63,45.00,5.00,413.74,8692567.00,4.70,4.70,0.44,7.90,58.90,
2000,35,20,4.79,74.46,null,992.00,34.00,28.00,5.00,6.60,41.00,5.10,462.49,85492.00,4.80,4.80,0.44,7.80,58.60,
2015,147,3,null,0.00,97.00,0.00,51.00,4.00,97.00,null,97.00,0.30,2326.16,896829.00,2.10,2.10,0.62,11.20,74.60,
2014,149,3,2.87,345.38,97.00,0.00,5.20,4.00,97.00,8.72,97.00,0.30,2242.71,889216.00,2.10,2.10,0.62,11.40,74.50,
2013,15,4,3.11,311.76,97.00,0.00,49.30,4.00,97.00,9.15,97.00,0.40,2136.77,8657785.00,2.20,2.10,0.61,11.60,74.30,
2012,151,4,3.11,363.57,97.00,0.00,48.40,4.00,97.00,9.78,97.00,0.40,2178.38,855646.00,2.20,2.10,0.61,11.60,74.10,
2011,153,4,3.1,32.16,97.00,0.00,47.60,5.00,97.00,8.57,97.00,0.40,212.58,83516.00,2.20,2.20,0.61,11.70,73.90,
2010,156,4,3.1,302.11,97.00,0.00,46.80,5.00,97.00,8.45,97.00,0.40,1932.86,8194778.00,2.30,2.20,0.61,11.50,73.60,
2009,157,4,3.08,286.12,97.00,0.00,45.90,5.00,97.00,8.84,97.00,0.50,1815.49,83521.00,2.30,2.20,0.60,11.30,73.40,
2008,159,4,3.14,231.91,92.00,0.00,45.10,5.00,93.00,8.40,93.00,0.60,1751.60,7872658.00,2.30,2.30,0.60,11.10,73.20,
2007,16,5,3.16,222.48,93.00,0.00,44.30,6.00,94.00,7.89,94.00,0.70,1592.57,777972.00,2.40,2.30,0.59,10.90,73.00,
2006,161,5,3.23,192.93,94.00,0.00,43.50,6.00,94.00,7.63,95.00,0.80,1437.63,754146.00,2.40,2.40,0.58,10.80,72.80,
2005,163,5,3.23,203.71,97.00,0.00,42.80,6.00,98.00,7.81,98.00,0.90,1311.74,737343.00,2.50,2.40,0.58,10.60,72.50,
2004,165,5,3.02,188.25,93.00,0.00,42.00,7.00,94.00,7.89,94.00,1.20,1217.66,724153.00,2.60,2.50,0.57,10.40,72.20,
2003,166,6,3.04,194.43,91.00,0.00,41.20,7.00,92.00,8.29,92.00,1.40,1157.34,733821.00,2.60,2.50,0.57,10.30,71.90,
2002,169,6,3.09,154.86,94.00,0.00,4.40,7.00,95.00,7.28,95.00,1.50,1132.87,6863157.00,2.70,2.60,0.56,10.10,71.60,
2001,171,6,2.74,15.36,95.00,0.00,39.60,8.00,99.00,6.88,96.00,1.60,113.45,669361.00,2.70,2.70,0.56,9.90,71.30,
2000,174,6,2.61,28.81,93.00,0.00,38.80,8.00,88.00,6.63,94.00,1.70,188.78,6524283.00,2.80,2.70,0.55,9.80,71.00,
2015,134,0,null,0.00,null,0.00,64.80,0.00,99.00,null,99.00,0.10,12365.63,984328.00,1.60,1.60,0.83,15.60,75.80,
2014,137,0,0.01,160.94,null,0.00,64.20,0.00,99.00,7.40,99.00,0.10,14117.98,9866468.00,1.70,1.60,0.83,15.80,75.60,
