Ship_Mode,Ship_Date,Order_ID
Second Class,2023-02-15,US-2023-168368
Standard Class,2023-02-15,US-2023-127614
Standard Class,2023-02-18,US-2023-110674
Standard Class,2023-02-18,US-2023-121762
Second Class,2023-02-19,US-2023-107706
Standard Class,2023-02-18,US-2023-121762
Standard Class,2023-02-18,US-2023-121762
Standard Class,2023-02-19,US-2023-165568
Standard Class,2023-02-21,US-2023-122567
Standard Class,2023-02-21,US-2023-122567
Standard Class,2023-02-24,US-2023-154165
Same Day,2023-02-18,US-2023-165589
Standard Class,2023-02-24,US-2023-152905
Standard Class,2023-02-26,US-2023-109491
Standard Class,2023-02-24,US-2023-164903
Standard Class,2023-02-26,US-2023-109491
Standard Class,2023-02-25,US-2023-165540
First Class,2023-02-24,US-2023-133354
Standard Class,2023-02-27,US-2023-103744
Standard Class,2023-02-27,US-2023-103744
Standard Class,2023-03-02,US-2023-137680
Standard Class,2023-03-02,US-2023-137680
First Class,2023-03-03,US-2023-156545
Standard Class,2023-03-05,US-2023-113880
Standard Class,2023-03-05,US-2023-131009
Second Class,2023-03-06,US-2023-104269
Standard Class,2023-03-05,US-2023-131009
Standard Class,2023-03-07,US-2023-168312
Standard Class,2023-03-05,US-2023-131009
Standard Class,2023-03-05,US-2023-113880
Standard Class,2023-03-05,US-2023-131009
Standard Class,2023-03-07,US-2023-168312
Standard Class,2023-03-05,US-2023-143707
Standard Class,2023-03-08,US-2023-107524
Standard Class,2023-03-06,US-2023-111157
Standard Class,2023-03-08,US-2023-107524
Standard Class,2023-03-06,US-2023-111157
Standard Class,2023-03-08,US-2023-127978
Standard Class,2023-03-07,US-2023-105648
Standard Class,2023-03-07,US-2023-130421
Second Class,2023-03-07,US-2023-155852
Standard Class,2023-03-08,US-2023-127964
Standard Class,2023-03-08,US-2023-127964
Standard Class,2023-03-08,US-2023-127978
Standard Class,2023-03-08,US-2023-127978
Standard Class,2023-03-08,US-2023-127964
Standard Class,2023-03-09,US-2023-117016
Same Day,2023-03-04,US-2023-116239
Second Class,2023-03-08,US-2023-169061
Second Class,2023-03-08,US-2023-169061
Second Class,2023-03-08,US-2023-169061
Second Class,2023-03-08,US-2023-169061
Second Class,2023-03-08,US-2023-169061
Standard Class,2023-03-12,US-2023-104563
First Class,2023-03-08,US-2023-156587
Standard Class,2023-03-12,US-2023-104563
Standard Class,2023-03-12,US-2023-104563
First Class,2023-03-08,US-2023-156587
Second Class,2023-03-11,US-2023-131982
Standard Class,2023-03-12,US-2023-104563
First Class,2023-03-08,US-2023-156587
Standard Class,2023-03-17,US-2023-140116
Standard Class,2023-03-14,US-2023-100279
Standard Class,2023-03-17,US-2023-140116
Second Class,2023-03-16,US-2023-166884
Second Class,2023-03-13,US-2023-114790
Standard Class,2023-03-15,US-2023-103338
Second Class,2023-03-16,US-2023-166884
Second Class,2023-03-13,US-2023-114790
Second Class,2023-03-14,US-2023-158337
Second Class,2023-03-13,US-2023-114790
Second Class,2023-03-13,US-2023-114790
Second Class,2023-03-18,CA-2023-139675
Second Class,2023-03-18,CA-2023-139675
Standard Class,2023-03-19,US-2023-125521
Standard Class,2023-03-18,US-2023-157623
Standard Class,2023-03-19,US-2023-114510
Standard Class,2023-03-19,US-2023-114510
Standard Class,2023-03-18,US-2023-100293
Standard Class,2023-03-18,US-2023-157623
First Class,2023-03-17,US-2023-152618
Standard Class,2023-03-19,US-2023-114510
Standard Class,2023-03-19,US-2023-114510
Standard Class,2023-03-19,US-2023-114510
First Class,2023-03-17,US-2023-152618
Standard Class,2023-03-19,US-2023-149958
Standard Class,2023-03-19,US-2023-149958
Standard Class,2023-03-19,US-2023-149958
Standard Class,2023-03-19,US-2023-149958
Standard Class,2023-03-19,US-2023-149958
Second Class,2023-03-21,US-2023-157609
Standard Class,2023-03-21,US-2023-148838
Standard Class,2023-03-21,US-2023-148838
Standard Class,2023-03-21,US-2023-148838
Standard Class,2023-03-24,US-2023-118339
Standard Class,2023-03-21,US-2023-164763
Same Day,2023-03-17,US-2023-158442
Standard Class,2023-03-24,US-2023-118339
Standard Class,2023-03-24,US-2023-118339
Standard Class,2023-03-21,US-2023-164763
Standard Class,2023-03-21,US-2023-164763
Standard Class,2023-03-24,US-2023-118339
Standard Class,2023-03-24,US-2023-118339
Standard Class,2023-03-21,US-2023-148838
Same Day,2023-03-17,US-2023-158442
Same Day,2023-03-17,US-2023-158442
Standard Class,2023-03-21,US-2023-148838
Standard Class,2023-03-21,US-2023-164763
Standard Class,2023-03-21,US-2023-164763
Second Class,2023-03-20,US-2023-127859
Second Class,2023-03-21,US-2023-111871
Standard Class,2023-03-23,US-2023-145317
Standard Class,2023-03-23,US-2023-145317
Standard Class,2023-03-24,US-2023-131275
Standard Class,2023-03-23,US-2023-145317
Standard Class,2023-03-23,US-2023-145317
Standard Class,2023-03-23,US-2023-145317
Standard Class,2023-03-24,US-2023-131275
Standard Class,2023-03-24,US-2023-131275
Standard Class,2023-03-23,US-2023-145317
Standard Class,2023-03-23,US-2023-145317
First Class,2023-03-21,US-2023-103989
First Class,2023-03-21,US-2023-103989
First Class,2023-03-21,US-2023-103989
First Class,2023-03-21,US-2023-103989
First Class,2023-03-21,US-2023-103989
First Class,2023-03-21,US-2023-103989
First Class,2023-03-21,US-2023-103989
Standard Class,2023-03-25,US-2023-155544
Standard Class,2023-03-25,US-2023-155544
Standard Class,2023-03-25,US-2023-163223
Standard Class,2023-03-25,US-2023-140004
Standard Class,2023-03-25,US-2023-140004
Standard Class,2023-03-25,US-2023-163223
Standard Class,2023-03-25,US-2023-163223
Standard Class,2023-03-25,US-2023-155544
Standard Class,2023-03-25,US-2023-163223
Standard Class,2023-03-25,US-2023-107405
Standard Class,2023-03-25,US-2023-163223
Standard Class,2023-03-26,US-2023-148040
Same Day,2023-03-22,US-2023-129609
Standard Class,2023-03-26,US-2023-158057
Standard Class,2023-03-26,US-2023-158057
Standard Class,2023-03-26,US-2023-148040
First Class,2023-03-26,US-2023-164749
Second Class,2023-03-26,US-2023-120838
Second Class,2023-03-26,US-2023-120838
Second Class,2023-03-29,US-2023-143637
Standard Class,2023-03-28,US-2023-147235
Standard Class,2023-04-01,US-2023-148586
Standard Class,2023-03-30,US-2023-128237
Standard Class,2023-03-30,US-2023-128237
Standard Class,2023-03-30,US-2023-128237
Standard Class,2023-03-30,US-2023-128237
Second Class,2023-03-31,US-2023-141838
Second Class,2023-03-31,US-2023-141838
Second Class,2023-03-30,US-2023-100860
Standard Class,2023-03-30,US-2023-138436
Second Class,2023-03-31,US-2023-141838
Standard Class,2023-04-03,US-2023-117380
Standard Class,2023-04-02,US-2023-137869
Standard Class,2023-04-02,US-2023-137869
Standard Class,2023-04-01,US-2023-100881
Standard Class,2023-04-02,US-2023-137274
Standard Class,2023-04-04,US-2023-131247
First Class,2023-04-01,US-2023-162089
First Class,2023-03-31,US-2023-105151
Standard Class,2023-04-03,US-2023-169033
First Class,2023-04-01,US-2023-162089
Standard Class,2023-04-04,US-2023-133424
Standard Class,2023-04-05,US-2023-113124
Standard Class,2023-04-04,US-2023-133424
First Class,2023-04-01,US-2023-162089
Same Day,2023-03-31,US-2023-130428
Standard Class,2023-04-05,US-2023-128055
Same Day,2023-03-31,US-2023-130428
Standard Class,2023-04-04,US-2023-101770
Same Day,2023-03-31,US-2023-130428
Standard Class,2023-04-04,US-2023-104759
Same Day,2023-03-31,US-2023-112403
Standard Class,2023-04-05,US-2023-128055
Standard Class,2023-04-04,US-2023-104759
Second Class,2023-04-06,US-2023-157021
Standard Class,2023-04-06,US-2023-138359
Second Class,2023-04-06,US-2023-157021
Standard Class,2023-04-06,US-2023-138359
Standard Class,2023-04-08,US-2023-160276
Standard Class,2023-04-08,US-2023-164315
Second Class,2023-04-06,US-2023-157847
Second Class,2023-04-06,US-2023-157847
Standard Class,2023-04-08,US-2023-164315
Standard Class,2023-04-08,US-2023-164315
Standard Class,2023-04-08,US-2023-112291
Standard Class,2023-04-08,US-2023-112291
Standard Class,2023-04-08,US-2023-112291
Standard Class,2023-04-09,US-2023-133228
Standard Class,2023-04-09,US-2023-133228
First Class,2023-04-05,US-2023-128685
Standard Class,2023-04-09,US-2023-105172
Standard Class,2023-04-08,US-2023-149538
Standard Class,2023-04-08,US-2023-149538
Standard Class,2023-04-08,US-2023-149538
Standard Class,2023-04-08,US-2023-149538
Second Class,2023-04-09,US-2023-102988
Second Class,2023-04-07,US-2023-149104
Second Class,2023-04-07,US-2023-149104
Second Class,2023-04-09,US-2023-102988
Standard Class,2023-04-09,US-2023-157231
Second Class,2023-04-07,US-2023-149104
Second Class,2023-04-09,US-2023-102988
First Class,2023-04-07,US-2023-113887
Second Class,2023-04-07,US-2023-149104
First Class,2023-04-07,US-2023-151001
First Class,2023-04-07,US-2023-151001
Second Class,2023-04-09,US-2023-102988
Second Class,2023-04-09,US-2023-102988
Standard Class,2023-04-12,US-2023-102652
Standard Class,2023-04-12,US-2023-102652
Standard Class,2023-04-12,US-2023-169803
First Class,2023-04-08,US-2023-118486
Second Class,2023-04-10,US-2023-153808
Second Class,2023-04-10,US-2023-153808
Standard Class,2023-04-10,US-2023-136742
Standard Class,2023-04-12,US-2023-102652
Standard Class,2023-04-12,US-2023-102652
First Class,2023-04-08,US-2023-118486
Standard Class,2023-04-12,US-2023-169803
Second Class,2023-04-10,US-2023-153808
First Class,2023-04-08,US-2023-118486
First Class,2023-04-10,US-2023-124023
Standard Class,2023-04-12,US-2023-128846
Same Day,2023-04-07,US-2023-165806
Standard Class,2023-04-12,US-2023-128846
Same Day,2023-04-07,US-2023-165806
Standard Class,2023-04-12,US-2023-118997
Standard Class,2023-04-12,US-2023-150581
Standard Class,2023-04-12,US-2023-121769
Standard Class,2023-04-15,US-2023-100363
Standard Class,2023-04-13,US-2023-163797
Standard Class,2023-04-15,US-2023-100363
Standard Class,2023-04-12,US-2023-150581
Standard Class,2023-04-16,US-2023-121734
Second Class,2023-04-13,US-2023-102715
Second Class,2023-04-13,US-2023-102715
Standard Class,2023-04-18,US-2023-110555
Second Class,2023-04-13,US-2023-102715
Second Class,2023-04-13,US-2023-102715
Standard Class,2023-04-18,US-2023-110555
Standard Class,2023-04-18,US-2023-110555
Second Class,2023-04-16,US-2023-138940
Standard Class,2023-04-17,US-2023-154599
Standard Class,2023-04-18,US-2023-142979
Standard Class,2023-04-17,US-2023-154599
Standard Class,2023-04-17,US-2023-158365
Standard Class,2023-04-17,US-2023-154599
Standard Class,2023-04-17,US-2023-154599
Second Class,2023-04-17,US-2023-122336
Second Class,2023-04-17,US-2023-122336
Second Class,2023-04-17,US-2023-122336
Standard Class,2023-04-18,US-2023-167724
Second Class,2023-04-17,US-2023-122336
Same Day,2023-04-15,US-2023-120740
Same Day,2023-04-15,US-2023-120740
Standard Class,2023-04-20,US-2023-155208
Standard Class,2023-04-22,US-2023-100678
Standard Class,2023-04-23,US-2023-110849
Standard Class,2023-04-22,US-2023-100678
Standard Class,2023-04-23,US-2023-110849
Standard Class,2023-04-22,US-2023-100678
Standard Class,2023-04-23,US-2023-110849
Standard Class,2023-04-22,US-2023-100678
Standard Class,2023-04-23,US-2023-110849
Second Class,2023-04-21,US-2023-169460
Second Class,2023-04-23,US-2023-158470
Second Class,2023-04-23,US-2023-158470
Standard Class,2023-04-25,US-2023-101462
Second Class,2023-04-22,US-2023-134572
Second Class,2023-04-22,US-2023-134572
Second Class,2023-04-22,US-2023-134572
Standard Class,2023-04-25,US-2023-158064
Standard Class,2023-04-26,US-2023-136336
Second Class,2023-04-24,US-2023-122070
Second Class,2023-04-24,US-2023-122070
Standard Class,2023-04-27,US-2023-150119
Standard Class,2023-04-27,US-2023-150119
Standard Class,2023-04-27,US-2023-150119
Standard Class,2023-04-27,US-2023-150119
First Class,2023-04-24,US-2023-112564
Second Class,2023-04-26,US-2023-111857
Standard Class,2023-04-30,US-2023-166954
Standard Class,2023-04-30,US-2023-166954
Standard Class,2023-04-30,US-2023-166954
Standard Class,2023-04-29,US-2023-157406
Standard Class,2023-04-29,US-2023-157406
Standard Class,2023-04-29,US-2023-110100
Standard Class,2023-05-03,US-2023-147298
Standard Class,2023-04-30,US-2023-116785
Standard Class,2023-05-03,US-2023-147298
Standard Class,2023-04-30,US-2023-116785
Standard Class,2023-05-03,US-2023-118976
Standard Class,2023-05-03,US-2023-118976
Standard Class,2023-05-03,US-2023-118976
Standard Class,2023-05-03,US-2023-140228
Standard Class,2023-05-03,US-2023-118976
Standard Class,2023-05-03,US-2023-140228
Standard Class,2023-05-03,US-2023-140228
Standard Class,2023-05-03,US-2023-132983
First Class,2023-04-30,US-2023-131387
Standard Class,2023-05-03,US-2023-107811
Second Class,2023-05-01,US-2023-142727
Standard Class,2023-05-04,US-2023-134061
Second Class,2023-05-01,US-2023-142727
Standard Class,2023-05-03,US-2023-107811
Standard Class,2023-05-04,US-2023-118304
First Class,2023-05-02,US-2023-160094
First Class,2023-05-02,US-2023-160094
Second Class,2023-05-02,US-2023-156006
Same Day,2023-05-02,US-2023-115056
Second Class,2023-05-04,US-2023-124618
Standard Class,2023-05-10,US-2023-135755
Standard Class,2023-05-10,US-2023-135755
First Class,2023-05-05,US-2023-130274
Same Day,2023-05-04,US-2023-155271
First Class,2023-05-07,US-2023-148194
First Class,2023-05-07,US-2023-148194
First Class,2023-05-05,US-2023-111899
Standard Class,2023-05-08,US-2023-117709
First Class,2023-05-05,US-2023-111899
First Class,2023-05-08,US-2023-110219
Second Class,2023-05-09,US-2023-166457
First Class,2023-05-07,US-2023-111934
First Class,2023-05-07,US-2023-111934
Second Class,2023-05-09,US-2023-166457
Second Class,2023-05-09,US-2023-166457
Standard Class,2023-05-10,US-2023-160738
Standard Class,2023-05-11,US-2023-154879
Standard Class,2023-05-10,US-2023-121664
Standard Class,2023-05-11,US-2023-154879
Standard Class,2023-05-12,US-2023-166086
Standard Class,2023-05-12,US-2023-166086
Standard Class,2023-05-12,US-2023-166086
Standard Class,2023-05-12,US-2023-166086
Standard Class,2023-05-12,CA-2023-166086
Standard Class,2023-05-12,CA-2023-166086
Standard Class,2023-05-12,CA-2023-166086
Standard Class,2023-05-12,CA-2023-166086
First Class,2023-05-10,US-2023-116666
Same Day,2023-05-09,US-2023-158771
Same Day,2023-05-09,US-2023-158771
Same Day,2023-05-09,US-2023-158771
Same Day,2023-05-09,US-2023-158771
Standard Class,2023-05-15,US-2023-102071
Standard Class,2023-05-15,US-2023-102071
Second Class,2023-05-14,US-2023-114181
Standard Class,2023-05-15,US-2023-103310
Second Class,2023-05-14,US-2023-114181
Standard Class,2023-05-15,US-2023-159709
Standard Class,2023-05-15,US-2023-103310
Standard Class,2023-05-15,US-2023-103310
Standard Class,2023-05-15,US-2023-103310
Standard Class,2023-05-15,US-2023-159709
Standard Class,2023-05-16,US-2023-152100
Standard Class,2023-05-16,US-2023-103849
Standard Class,2023-05-18,US-2023-127523
Standard Class,2023-05-15,US-2023-119172
Standard Class,2023-05-15,US-2023-119172
Standard Class,2023-05-17,US-2023-139017
Standard Class,2023-05-16,US-2023-103849
Standard Class,2023-05-16,US-2023-103849
First Class,2023-05-15,US-2023-127159
Standard Class,2023-05-17,US-2023-155887
Standard Class,2023-05-19,US-2023-113768
First Class,2023-05-15,US-2023-140165
First Class,2023-05-15,US-2023-140165
Standard Class,2023-05-19,US-2023-113768
Second Class,2023-05-15,US-2023-167164
Standard Class,2023-05-17,US-2023-114433
Standard Class,2023-05-20,US-2023-106810
Standard Class,2023-05-23,US-2023-125150
Standard Class,2023-05-20,US-2023-163146
Standard Class,2023-05-21,US-2023-148761
Second Class,2023-05-20,US-2023-164224
Second Class,2023-05-20,US-2023-164224
Second Class,2023-05-22,US-2023-133963
Standard Class,2023-05-24,US-2023-103373
Standard Class,2023-05-23,US-2023-107699
First Class,2023-05-22,US-2023-130155
Second Class,2023-05-22,US-2023-114188
Second Class,2023-05-22,US-2023-130673
Second Class,2023-05-22,US-2023-114188
Second Class,2023-05-22,US-2023-114188
Second Class,2023-05-22,US-2023-130673
Second Class,2023-05-22,US-2023-130673
Second Class,2023-05-22,US-2023-130673
Standard Class,2023-05-24,CA-2023-166695
Standard Class,2023-05-24,CA-2023-166695
Standard Class,2023-05-24,CA-2023-166695
Second Class,2023-05-23,US-2023-127166
Standard Class,2023-05-26,US-2023-152443
Standard Class,2023-05-25,US-2023-104780
Second Class,2023-05-23,US-2023-127166
Standard Class,2023-05-26,US-2023-152443
Standard Class,2023-05-25,US-2023-117639
Second Class,2023-05-23,US-2023-127166
Second Class,2023-05-23,US-2023-127166
Standard Class,2023-05-26,US-2023-152443
Standard Class,2023-05-25,US-2023-117639
Standard Class,2023-05-26,CA-2023-152443
Standard Class,2023-05-26,CA-2023-152443
Standard Class,2023-05-26,CA-2023-152443
Standard Class,2023-05-29,US-2023-143840
Standard Class,2023-05-29,US-2023-143840
Standard Class,2023-05-27,US-2023-135881
Standard Class,2023-05-27,US-2023-105767
Standard Class,2023-05-27,US-2023-135881
Standard Class,2023-05-27,US-2023-105767
Standard Class,2023-05-27,US-2023-138513
Standard Class,2023-05-27,US-2023-135881
Standard Class,2023-05-27,US-2023-105767
Standard Class,2023-05-30,US-2023-143413
Standard Class,2023-05-29,US-2023-130379
Standard Class,2023-05-29,US-2023-130379
Standard Class,2023-05-29,US-2023-100391
Standard Class,2023-05-30,US-2023-156349
Standard Class,2023-05-30,US-2023-158029
Standard Class,2023-05-31,US-2023-144029
Standard Class,2023-05-31,US-2023-144029
First Class,2023-05-29,US-2023-129574
Standard Class,2023-05-31,US-2023-144029
Standard Class,2023-05-30,US-2023-156349
Standard Class,2023-05-30,US-2023-156349
Same Day,2023-05-27,US-2023-124429
First Class,2023-05-30,US-2023-117058
Same Day,2023-05-27,US-2023-124429
Second Class,2023-06-01,US-2023-139192
Second Class,2023-06-01,US-2023-139192
Standard Class,2023-06-01,US-2023-108861
Standard Class,2023-06-02,US-2023-135993
Standard Class,2023-06-02,US-2023-135993
Standard Class,2023-06-05,US-2023-145800
First Class,2023-06-01,US-2023-103429
Standard Class,2023-06-06,US-2023-105872
First Class,2023-06-01,US-2023-103429
Standard Class,2023-06-05,US-2023-146885
First Class,2023-06-01,US-2023-103429
Standard Class,2023-06-03,US-2023-140473
First Class,2023-06-01,US-2023-103429
Standard Class,2023-06-05,US-2023-166051
Standard Class,2023-06-05,US-2023-166051
Second Class,2023-06-06,US-2023-131926
Standard Class,2023-06-06,US-2023-165659
Second Class,2023-06-06,US-2023-131926
Standard Class,2023-06-06,US-2023-157070
Standard Class,2023-06-06,US-2023-111003
Standard Class,2023-06-06,US-2023-111003
Standard Class,2023-06-06,US-2023-157070
Second Class,2023-06-06,US-2023-131926
Second Class,2023-06-06,US-2023-131926
Second Class,2023-06-06,US-2023-131926
Standard Class,2023-06-06,US-2023-165659
Standard Class,2023-06-07,US-2023-104472
Standard Class,2023-06-06,US-2023-100895
Standard Class,2023-06-07,US-2023-104472
Standard Class,2023-06-06,US-2023-100895
Standard Class,2023-06-06,US-2023-100895
First Class,2023-06-06,US-2023-163867
Second Class,2023-06-07,US-2023-135657
Second Class,2023-06-07,US-2023-141299
First Class,2023-06-06,US-2023-163867
First Class,2023-06-06,US-2023-163867
Standard Class,2023-06-09,US-2023-151946
Standard Class,2023-06-09,US-2023-151946
Standard Class,2023-06-09,US-2023-151946
Standard Class,2023-06-09,US-2023-151946
Standard Class,2023-06-09,US-2023-147914
Standard Class,2023-06-11,US-2023-159520
First Class,2023-06-09,US-2023-133270
Standard Class,2023-06-12,US-2023-169257
Standard Class,2023-06-12,US-2023-161305
Standard Class,2023-06-11,US-2023-159520
Standard Class,2023-06-12,US-2023-161305
Standard Class,2023-06-10,US-2023-151897
Standard Class,2023-06-12,US-2023-169257
Standard Class,2023-06-11,US-2023-159520
Second Class,2023-06-11,US-2023-106229
Second Class,2023-06-10,US-2023-134971
Standard Class,2023-06-12,US-2023-109162
Standard Class,2023-06-14,US-2023-141257
Standard Class,2023-06-13,US-2023-108147
Standard Class,2023-06-13,US-2023-108147
Standard Class,2023-06-14,US-2023-115812
Second Class,2023-06-13,US-2023-160262
Standard Class,2023-06-14,US-2023-115812
Second Class,2023-06-11,US-2023-132612
Standard Class,2023-06-14,US-2023-115812
Second Class,2023-06-13,US-2023-133753
Second Class,2023-06-13,US-2023-160262
Standard Class,2023-06-14,US-2023-115812
Standard Class,2023-06-16,US-2023-133851
Standard Class,2023-06-14,US-2023-115812
Second Class,2023-06-13,US-2023-160262
Standard Class,2023-06-16,US-2023-133851
Second Class,2023-06-13,US-2023-133753
Second Class,2023-06-13,US-2023-133753
Standard Class,2023-06-14,US-2023-115812
Standard Class,2023-06-14,US-2023-115812
Second Class,2023-06-15,US-2023-144281
Standard Class,2023-06-17,US-2023-114643
Standard Class,2023-06-20,US-2023-140487
Standard Class,2023-06-21,US-2023-141215
Standard Class,2023-06-21,US-2023-141215
Standard Class,2023-06-21,US-2023-141215
Same Day,2023-06-15,US-2023-126963
Standard Class,2023-06-22,US-2023-136644
Standard Class,2023-06-21,US-2023-113929
Standard Class,2023-06-21,US-2023-113929
Standard Class,2023-06-21,US-2023-113929
Standard Class,2023-06-21,US-2023-144414
Standard Class,2023-06-21,US-2023-144414
Standard Class,2023-06-21,US-2023-144414
Second Class,2023-06-20,US-2023-156342
Standard Class,2023-06-23,US-2023-104402
Standard Class,2023-06-23,US-2023-123855
Second Class,2023-06-20,CA-2023-184712
Standard Class,2023-06-24,US-2023-166863
Standard Class,2023-06-27,US-2023-112949
Standard Class,2023-06-27,US-2023-112949
Standard Class,2023-06-24,US-2023-166863
Standard Class,2023-06-24,US-2023-166863
Standard Class,2023-06-24,US-2023-166863
Standard Class,2023-06-24,US-2023-166863
Standard Class,2023-06-24,US-2023-166863
Standard Class,2023-06-24,US-2023-166863
Standard Class,2023-06-25,US-2023-138317
Second Class,2023-06-23,US-2023-117135
First Class,2023-06-24,US-2023-130624
Standard Class,2023-06-25,US-2023-138317
Standard Class,2023-06-25,US-2023-128146
First Class,2023-06-24,US-2023-141278
Standard Class,2023-06-25,US-2023-138317
Same Day,2023-06-21,US-2023-160780
Same Day,2023-06-21,US-2023-160780
Standard Class,2023-06-25,US-2023-138317
First Class,2023-06-24,US-2023-130624
Second Class,2023-06-23,US-2023-117135
Standard Class,2023-06-25,US-2023-138317
Standard Class,2023-06-25,US-2023-138317
Same Day,2023-06-21,US-2023-141796
Second Class,2023-06-23,US-2023-117135
First Class,2023-06-24,US-2023-130624
Standard Class,2023-06-25,US-2023-128146
Standard Class,2023-06-27,US-2023-154963
Standard Class,2023-06-27,US-2023-154963
Same Day,2023-06-22,US-2023-133389
First Class,2023-06-24,US-2023-124646
First Class,2023-06-24,US-2023-124646
First Class,2023-06-25,US-2023-142048
Standard Class,2023-06-27,US-2023-154963
First Class,2023-06-26,US-2023-130358
First Class,2023-06-26,US-2023-130358
Standard Class,2023-06-28,US-2023-126032
Standard Class,2023-06-28,US-2023-159814
First Class,2023-06-28,US-2023-159338
Second Class,2023-06-27,US-2023-164469
Second Class,2023-06-27,US-2023-164469
Second Class,2023-06-27,US-2023-164469
Standard Class,2023-07-01,US-2023-104283
Standard Class,2023-07-01,US-2023-104283
Standard Class,2023-07-01,US-2023-104283
Standard Class,2023-07-02,US-2023-140858
Standard Class,2023-07-02,US-2023-140858
Standard Class,2023-07-02,US-2023-140858
